Code,Service District Code,Municipality,2013 Rate
163,2,Windham 1st Taxing District,Not Avail.
164,0,Windsor,30.47
164,1,"Windsor, Wilson Fire District",2.8
164,2,"Windsor, Windsor Fire District",1.5
165,0,Windsor Locks,26.23
166,0,Wolcott,27.17
167,0,Woodbridge,34.97
168,0,Woodbury,25.69
169,0,Woodstock,23.1
601,0,Borough of Bantam (Litchfield),1.5
603,0,Borough of Danielson,4.35
604,0,Borough of Fenwick (Old Saybrook),3.04
606,0,Borough of Jewett City (Griswold),3.9
607,0,Borough of Litchfield,1.33
608,0,Borough of Newtown,0.87
610,0,Borough of Stonington #372,2.5
611,0,Borough of Woodmont (Milford),Not Avail.
