City,CityType,Year,Population,BirthsRate,DeathsRate,town,Median_household_income,CRIMENU
Cheshire,LargeTown,2015,29262,0.57,0.89,25,106489,203
Chester,Town,2010,3992,0.65,1.4,26,80185,45
Chester,Town,2011,4003,0.7,1.27,26,80192,25
Chester,Town,2012,4245,0.59,1.04,26,79345,18
Chester,Town,2013,4343,0.62,1.15,26,74911,6
Chester,Town,2014,4316,0.46,1.2,26,92400,16
Chester,Town,2015,4277,0.56,1.15,26,78750,15
Clinton,Town,2010,13256,0.76,0.81,27,74174,410
Clinton,Town,2011,13290,0.74,0.77,27,75122,342
Clinton,Town,2012,13196,0.74,0.77,27,68225,335
Clinton,Town,2013,13180,0.72,0.69,27,71599,287
Clinton,Town,2014,13129,0.65,0.83,27,92400,282
Clinton,Town,2015,13047,0.72,0.91,27,71455,316
Colchester,Town,2010,16066,0.94,0.73,28,92431,184
Colchester,Town,2011,16034,0.85,0.71,28,95034,119
Colchester,Town,2012,16187,0.86,0.81,28,92522,146
Colchester,Town,2013,16210,0.68,0.77,28,96774,76
Colchester,Town,2014,16192,0.82,0.73,28,106553,70
Colchester,Town,2015,16130,0.79,0.69,28,97313,65
Colebrook,Town,2010,1484,0.81,0.81,29,72000,13
Colebrook,Town,2011,1476,0.61,0.95,29,71125,11
Colebrook,Town,2012,1461,0.41,0.55,29,71691,7
Colebrook,Town,2013,1457,0.55,0.69,29,79667,11
Colebrook,Town,2014,1445,0.55,0.76,29,91840,10
Colebrook,Town,2015,1436,0.49,0.77,29,81172,6
Columbia,Town,2010,5488,0.75,0.73,30,85893,54
Columbia,Town,2011,5477,0.91,0.68,30,91715,28
Columbia,Town,2012,5461,0.73,0.6,30,92973,36
Columbia,Town,2013,5460,0.59,0.84,30,90725,30
Columbia,Town,2014,5454,0.79,0.79,30,106607,28
Columbia,Town,2015,5434,0.72,0.63,30,89986,24
Cornwall,Town,2010,1419,0.92,0.63,31,80179,22
Cornwall,Town,2011,1412,0.28,1.13,31,75000,23
