town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Brooklyn,Town,2010,8211,0.9,1.13,88,68851,22.29,207500
Brooklyn,Town,2011,8192,0.98,0.95,70,66023,22.29,180000
Brooklyn,Town,2012,8203,0.8,0.9,84,62857,22.38,187450
Brooklyn,Town,2013,8280,0.77,0.86,82,59262,23.19,198979
Brooklyn,Town,2014,8254,0.88,0.96,154,73429,23.19,188298.5
Brooklyn,Town,2015,8259,0.62,0.96,104,60694,23.43,177250
Burlington,Town,2010,9302,0.63,0.45,61,115341,25.82,343500
Burlington,Town,2011,9309,0.75,0.49,44,114792,26.57,330000
Burlington,Town,2012,9434,0.93,0.48,64,106756,26.75,350000
Burlington,Town,2013,9494,0.65,0.46,43,105422,26.8,321000
Burlington,Town,2014,9576,0.79,0.41,37,123187,27.5,353750
Burlington,Town,2015,9623,0.71,0.55,22,113472,29.85,295000
Canaan,Town,2010,1234,0.97,0.81,13,54219,19,211000
Canaan,Town,2011,1227,0.73,0.98,5,56161,19.5,232500
Canaan,Town,2012,1218,0.74,1.31,10,58021,20.5,205000
Canaan,Town,2013,1214,0.33,1.4,18,65000,20.5,156000
Canaan,Town,2014,1195,0.75,1.26,8,82618,21.5,172000
Canaan,Town,2015,1185,0.42,1.18,3,72321,22.75,159000
Canterbury,Town,2010,5133,0.64,0.74,40,70902,21.95,170000
Canterbury,Town,2011,5119,0.86,0.68,47,73000,21.2,173500
Canterbury,Town,2012,5106,0.92,0.63,48,66641,21.2,180000
Canterbury,Town,2013,5096,0.86,0.73,38,73038,21.2,195000
Canterbury,Town,2014,5088,0.96,0.83,21,85766,21.7,162450
Canterbury,Town,2015,5089,0.67,0.77,20,83862,21.5,180700
Canton,Town,2010,10294,0.8,0.73,122,87643,25.64,325000
Canton,Town,2011,10300,0.77,0.72,112,82619,26.09,311950
Canton,Town,2012,10351,0.75,0.91,89,86136,26.28,278000
Canton,Town,2013,10357,0.72,0.79,75,87891,26.42,307000
Canton,Town,2014,10345,0.67,0.73,77,122904,26.91,290350
Canton,Town,2015,10330,0.51,0.63,50,87326,28.56,280000
Chaplin,Town,2010,2305,1.21,0.65,24,62679,29.85,170000
Chaplin,Town,2011,2298,0.83,0.44,24,67981,30.15,151450
Chaplin,Town,2012,2286,0.52,0.61,23,75333,30.15,149500
Chaplin,Town,2013,2276,0.79,0.7,14,75368,30.15,179000
Chaplin,Town,2014,2262,0.75,1.06,20,92201,30.15,75000
Chaplin,Town,2015,2255,0.31,1.02,15,67054,35.05,150000
Cheshire,LargeTown,2010,29260,0.63,0.67,336,107936,26.05,310725
Cheshire,LargeTown,2011,29216,0.59,0.66,304,109535,26.5,330000
Cheshire,LargeTown,2012,29300,0.56,0.82,276,110587,26.85,307500
Cheshire,LargeTown,2013,29150,0.63,0.73,210,111638,27.23,285000
Cheshire,LargeTown,2014,29250,0.65,0.78,251,125801,27.6,263250
Cheshire,LargeTown,2015,29262,0.57,0.89,203,106489,30.25,283500
Chester,Town,2010,3992,0.65,1.4,45,80185,21.11,263000
Chester,Town,2011,4003,0.7,1.27,25,80192,22.11,231250
Chester,Town,2012,4245,0.59,1.04,18,79345,22.11,248500
Chester,Town,2013,4343,0.62,1.15,6,74911,22.45,289950
Chester,Town,2014,4316,0.46,1.2,16,92400,21.95,198000
Chester,Town,2015,4277,0.56,1.15,15,78750,24.82,301500
Clinton,Town,2010,13256,0.76,0.81,410,74174,21.88,251000
Clinton,Town,2011,13290,0.74,0.77,342,75122,22.41,246666
Clinton,Town,2012,13196,0.74,0.77,335,68225,24.92,255000
Clinton,Town,2013,13180,0.72,0.69,287,71599,25.18,257500
Clinton,Town,2014,13129,0.65,0.83,282,92400,25.43,224500
Clinton,Town,2015,13047,0.72,0.91,316,71455,26.27,233000
Colchester,Town,2010,16066,0.94,0.73,184,92431,23.65,229850
Colchester,Town,2011,16034,0.85,0.71,119,95034,25.07,224000
Colchester,Town,2012,16187,0.86,0.81,146,92522,25.85,225000
Colchester,Town,2013,16210,0.68,0.77,76,96774,28.8,227000
Colchester,Town,2014,16192,0.82,0.73,70,106553,30.28,222000
Colchester,Town,2015,16130,0.79,0.69,65,97313,30.57,225500
Colebrook,Town,2010,1484,0.81,0.81,13,72000,24.1,206000
Colebrook,Town,2011,1476,0.61,0.95,11,71125,24.81,450000
Colebrook,Town,2012,1461,0.41,0.55,7,71691,26,215000
Colebrook,Town,2013,1457,0.55,0.69,11,79667,26.82,249500
Colebrook,Town,2014,1445,0.55,0.76,10,91840,27.1,203500
Colebrook,Town,2015,1436,0.49,0.77,6,81172,27.8,159000
Columbia,Town,2010,5488,0.75,0.73,54,85893,23.01,238000
Columbia,Town,2011,5477,0.91,0.68,28,91715,23.55,224375
Columbia,Town,2012,5461,0.73,0.6,36,92973,23.55,225000
Columbia,Town,2013,5460,0.59,0.84,30,90725,27.13,210000
Columbia,Town,2014,5454,0.79,0.79,28,106607,27.13,247000
Columbia,Town,2015,5434,0.72,0.63,24,89986,27.13,220000
Cornwall,Town,2010,1419,0.92,0.63,22,80179,12.05,450000
Cornwall,Town,2011,1412,0.28,1.13,23,75000,12.32,375000
Cornwall,Town,2012,1399,0.36,0.79,18,78021,12.5,500000
Cornwall,Town,2013,1412,0.28,0.85,9,67500,14.6,350000
Cornwall,Town,2014,1398,0.14,0.57,11,108897,14.5,335000
Cornwall,Town,2015,1387,0.29,0.94,7,75833,14.9,153500
Coventry,Town,2010,12438,0.92,0.6,174,86244,28.54,222000
Coventry,Town,2011,12418,0.87,0.59,209,90502,26.58,215000
Coventry,Town,2012,12425,0.89,0.56,174,92308,27,199900
Coventry,Town,2013,12411,0.77,0.6,156,93816,27,190000
Coventry,Town,2014,12419,0.89,0.56,144,103876,27.97,175000
Coventry,Town,2015,12438,0.99,0.55,93,90309,28.47,197000
Cromwell,Town,2010,14001,1.08,1.01,371,82012,26.16,255000
Cromwell,Town,2011,14037,1.05,1.09,348,80426,26.84,268575
Cromwell,Town,2012,14217,1.1,1.06,301,80134,26.8,263000
Cromwell,Town,2013,14178,0.99,0.97,286,75859,27.06,218000
Cromwell,Town,2014,14113,0.97,1.18,313,97660,30.75,215250
Cromwell,Town,2015,14034,0.97,1.05,343,82081,31.18,180000
Danbury,LargeTown,2010,81023,1.41,0.61,1631,65275,21.66,240000
Danbury,LargeTown,2011,81671,1.32,0.64,1752,65656,20.96,242250
Danbury,LargeTown,2012,82807,1.32,0.58,1671,66281,21.69,235000
Danbury,LargeTown,2013,83684,1.31,0.66,1365,64969,22.45,244000
