town,CityType,Year,Population,BirthsRate,DeathsRate,Crime_num,Median_household_income,Mill_Rate,HOUSING_PRICE
Bozrah,Town,2010,2626,0.72,0.8,32,75000,20.25,185000
Bozrah,Town,2011,2622,0.72,1.11,26,81122,21,218500
Bozrah,Town,2012,2638,0.68,0.68,19,83188,22,186000
Bozrah,Town,2013,2639,0.87,0.68,22,78580,22.5,204000
Bozrah,Town,2014,2622,0.88,1.11,17,87039,26.25,145625
Bozrah,Town,2015,2603,0.81,1.19,14,77045,26.75,158000
Branford,LargeTown,2010,28024,0.81,1.05,848,70640,23.58,270000
Branford,LargeTown,2011,27980,0.74,1.08,778,71314,23.57,265000
Branford,LargeTown,2012,28024,0.85,1.13,699,70075,24.27,257500
Branford,LargeTown,2013,27988,0.89,1.15,651,70785,24.95,281250
Branford,LargeTown,2014,28225,0.67,1.11,688,96954,25.59,286750
Branford,LargeTown,2015,28145,0.78,1.18,708,71938,26.24,207500
Bridgeport,City,2010,144463,1.51,0.67,6095,41047,38.74,127200
Bridgeport,City,2011,145638,1.55,0.65,7054,40947,39.65,115000
Bridgeport,City,2012,146425,1.45,0.67,6913,39822,39.64,120000
Bridgeport,City,2013,147216,1.41,0.64,5861,41050,41.11,118000
Bridgeport,City,2014,147612,1.44,0.69,5623,55697,41.85,120000
Bridgeport,City,2015,147629,1.39,0.66,4492,41801,42.2,114949.5
Bridgewater,Town,2010,1725,0.52,1.1,15,86607,15.2,542000
Bridgewater,Town,2011,1716,0.23,1.22,15,85481,15.5,647500
Bridgewater,Town,2012,1702,0.47,1.12,12,83750,16.25,512000
Bridgewater,Town,2013,1696,0.18,0.59,6,87875,17.5,306500
Bridgewater,Town,2014,1675,0.66,0.84,8,143748,17.5,445000
Bridgewater,Town,2015,1659,0.18,1.02,5,98424,17.25,390000
Bristol,LargeTown,2010,60484,1.1,0.88,1535,58537,25.99,175000
Bristol,LargeTown,2011,60525,1.09,0.97,1626,60032,27.24,162200
Bristol,LargeTown,2012,60603,1.08,0.94,1687,58814,27.24,158500
Bristol,LargeTown,2013,60568,1.03,1,1478,57610,28.75,153446
Bristol,LargeTown,2014,60570,1.1,1.01,1582,73391,33.5,160000
Bristol,LargeTown,2015,60452,1.07,0.98,1307,61478,34.61,156250
Brookfield,Town,2010,16478,0.81,0.59,149,109008,18.86,375000
Brookfield,Town,2011,16617,0.77,0.64,213,108576,19.47,370000
Brookfield,Town,2012,16783,0.66,0.69,194,111096,19.94,337450
Brookfield,Town,2013,16860,0.65,0.68,171,107537,24.54,330500
Brookfield,Town,2014,17055,0.66,0.8,166,134297,25.4,335000
Brookfield,Town,2015,17143,0.8,0.57,148,112684,25.7,315000
