Year,Town,medprice
2014,Plymouth,149950
2014,Pomfret,225000
2014,Portland,220000
2014,Preston,199495
2014,Prospect,220000
2014,Putnam,133000
2014,Redding,548500
2014,Ridgefield,636500
2014,Rocky Hill,180500
2014,Roxbury,572000
2014,Salem,259500
2014,Salisbury,375000
2014,Scotland,166166.5
2014,Seymour,189900
2014,Sharon,280000
2014,Shelton,283750
2014,Sherman,465000
2014,Simsbury,325000
2014,Somers,250000
2014,South Windsor,248000
2014,Southbury,263450
2014,Southington,249750
2014,Sprague,123000
2014,Stafford,157500
2014,Stamford,515000
2014,Sterling,140000
2014,Stonington,253000
2014,Stratford,211500
2014,Suffield,267000
2014,Thomaston,156000
2014,Thompson,140100
2014,Tolland,236250
2014,Torrington,121950
2014,Trumbull,349000
2014,Union,190000
2014,Vernon,164250
2014,Voluntown,202000
2014,Wallingford,225000
2014,Warren,536000
2014,Washington,542500
2014,Waterbury,65000
2014,Waterford,205000
2014,Watertown,178750
2014,West Hartford,290000
2014,West Haven,156500
2014,Westbrook,275000
2014,Weston,851000
2014,Westport,1190000
2014,Wethersfield,199900
2014,Willington,142000
2014,Wilton,803000
2014,Winchester,119000
2014,Windham,96500
2014,Windsor,160500
2014,Windsor Locks,163500
2014,Wolcott,175000
2014,Woodbridge,404000
2014,Woodbury,254500
2014,Woodstock,208750
2015,Andover,194450
2015,Ansonia,148000
2015,Ashford,177000
2015,Avon,350000
2015,Barkhamsted,205000
2015,Beacon Falls,209250
2015,Berlin,245500
2015,Bethany,322000
2015,Bethel,294000
2015,Bethlehem,252000
2015,Bloomfield,184900
2015,Bolton,227000
2015,Bozrah,158000
2015,Branford,207500
2015,Bridgeport,114949.5
2015,Bridgewater,390000
2015,Bristol,156250
2015,Brookfield,315000
2015,Brooklyn,177250
2015,Burlington,295000
2015,Canaan,159000
2015,Canterbury,180700
2015,Canton,280000
2015,Chaplin,150000
2015,Cheshire,283500
2015,Chester,301500
2015,Clinton,233000
2015,Colchester,225500
2015,Colebrook,159000
2015,Columbia,220000
2015,Cornwall,153500
2015,Coventry,197000
2015,Cromwell,180000
2015,Danbury,252500
2015,Darien,1425000
2015,Deep River,215000
2015,Derby,140000
2015,Durham,285400
2015,East Granby,246000
2015,East Haddam,208500
2015,East Hampton,229000
2015,East Hartford,122000
2015,East Haven,164500
2015,East Lyme,251000
2015,East Windsor,160000
2015,Eastford,230000
2015,Easton,590000
2015,Ellington,240000
2015,Enfield,160000
2015,Essex,315000
2015,Fairfield,530000
2015,Farmington,272500
2015,Franklin,165950
2015,Glastonbury,292500
2015,Goshen,310000
2015,Granby,272500
2015,Greenwich,1450000
2015,Griswold,138700
2015,Groton,169400
2015,Guilford,327500
2015,Haddam,234000
2015,Hamden,169000
2015,Hampton,212500
2015,Hartford,109000
2015,Hartland,212000
2015,Harwinton,222000
2015,Hebron,265750
2015,Kent,236500
2015,Killingly,136625
2015,Killingworth,331166.5
2015,Lebanon,175000
2015,Ledyard,192375
2015,Lisbon,169900
2015,Litchfield,279000
2015,Lyme,397500
2015,Madison,381520
2015,Manchester,154000
2015,Mansfield,178750
2015,Marlborough,247450
2015,Meriden,130000
2015,Middlebury,301000
2015,Middlefield,225000
2015,Middletown,165000
2015,Milford,247000
2015,Monroe,299450
2015,Montville,156500
2015,Morris,305000
2015,Naugatuck,130000
2015,New Britain,114392.5
2015,New Canaan,1325000
2015,New Fairfield,319199.5
2015,New Hartford,220000
2015,New Haven,154450
2015,New London,118000
2015,New Milford,235000
2015,Newington,189000
2015,Newtown,365000
2015,Norfolk,180000
2015,North Branford,234900
2015,North Canaan,125000
2015,North Haven,245579.5
2015,North Stoningto,210000
2015,Norwalk,365000
2015,Norwich,80000
2015,Old Lyme,350000
2015,Old Saybrook,325250
2015,Orange,347200
2015,Oxford,341000
2015,Plainfield,141200
2015,Plainville,155000
2015,Plymouth,135750
2015,Pomfret,264500
2015,Portland,193050
2015,Preston,181500
2015,Prospect,260000
2015,Putnam,132500
2015,Redding,530000
2015,Ridgefield,582500
2015,Rocky Hill,195000
2015,Roxbury,531500
2015,Salem,218500
2015,Salisbury,471875
2015,Scotland,173750
2015,Seymour,178000
2015,Sharon,276750
2015,Shelton,274900
2015,Sherman,430000
2015,Simsbury,286875
2015,Somers,269000
2015,South Windsor,226130
2015,Southbury,179000
2015,Southington,222000
2015,Sprague,120000
2015,Stafford,159900
2015,Stamford,428050
2015,Sterling,170700
2015,Stonington,289900
2015,Stratford,197500
2015,Suffield,253000
2015,Thomaston,158000
2015,Thompson,147551.5
2015,Tolland,223750
2015,Torrington,99000
2015,Trumbull,345000
2015,Union,150000
2015,Vernon,150000
2015,Voluntown,175000
2015,Wallingford,215000
2015,Warren,299000
2015,Washington,376000
