Town,Year,Crime Type,Measure_Type,Value
Canton,2014,Motor Vehicle Theft,Number,0
Canton,2014,Motor Vehicle Theft,"Rate (per 100,000)",0
Canton,2014,Arson,Number,1
Canton,2014,Arson,"Rate (per 100,000)",10.7
Canton,2015,Total Crime,Number,50
Canton,2015,Total Crime,"Rate (per 100,000)",536.9
Canton,2015,Total Violent Crime,Number,1
Canton,2015,Total Violent Crime,"Rate (per 100,000)",10.7
Canton,2015,Total Property Crime,Number,49
Canton,2015,Total Property Crime,"Rate (per 100,000)",526.1
Canton,2015,Aggravated Assault,Number,0
Canton,2015,Aggravated Assault,"Rate (per 100,000)",0
Canton,2015,Murder,Number,0
Canton,2015,Murder,"Rate (per 100,000)",0
Canton,2015,Rape,Number,0
Canton,2015,Rape,"Rate (per 100,000)",0
Canton,2015,Robbery,Number,1
Canton,2015,Robbery,"Rate (per 100,000)",10.7
Canton,2015,Burglary,Number,5
Canton,2015,Burglary,"Rate (per 100,000)",53.7
Canton,2015,Larceny,Number,44
Canton,2015,Larceny,"Rate (per 100,000)",472.5
Canton,2015,Motor Vehicle Theft,Number,0
Canton,2015,Motor Vehicle Theft,"Rate (per 100,000)",0
Canton,2015,Arson,Number,0
Canton,2015,Arson,"Rate (per 100,000)",0
Canton,2016,Total Crime,Number,123
Canton,2016,Total Crime,"Rate (per 100,000)",1323.9
Canton,2016,Total Violent Crime,Number,0
Canton,2016,Total Violent Crime,"Rate (per 100,000)",0
Canton,2016,Total Property Crime,Number,123
Canton,2016,Total Property Crime,"Rate (per 100,000)",1323.9
Canton,2016,Aggravated Assault,Number,0
Canton,2016,Aggravated Assault,"Rate (per 100,000)",0
Canton,2016,Murder,Number,0
Canton,2016,Murder,"Rate (per 100,000)",0
Canton,2016,Rape,Number,0
Canton,2016,Rape,"Rate (per 100,000)",0
Canton,2016,Robbery,Number,0
Canton,2016,Robbery,"Rate (per 100,000)",0
Canton,2016,Burglary,Number,4
Canton,2016,Burglary,"Rate (per 100,000)",43.1
Canton,2016,Larceny,Number,109
Canton,2016,Larceny,"Rate (per 100,000)",1173.2
Canton,2016,Motor Vehicle Theft,Number,10
Canton,2016,Motor Vehicle Theft,"Rate (per 100,000)",107.6
Canton,2016,Arson,Number,0
Canton,2016,Arson,"Rate (per 100,000)",0
Canton,2017,Total Crime,Number,68
Canton,2017,Total Crime,"Rate (per 100,000)",730.9
Canton,2017,Total Violent Crime,Number,2
Canton,2017,Total Violent Crime,"Rate (per 100,000)",21.5
Canton,2017,Total Property Crime,Number,66
Canton,2017,Total Property Crime,"Rate (per 100,000)",709.4
Canton,2017,Aggravated Assault,Number,1
Canton,2017,Aggravated Assault,"Rate (per 100,000)",10.7
Canton,2017,Murder,Number,0
Canton,2017,Murder,"Rate (per 100,000)",0
Canton,2017,Rape,Number,0
Canton,2017,Rape,"Rate (per 100,000)",0
Canton,2017,Robbery,Number,1
Canton,2017,Robbery,"Rate (per 100,000)",10.7
Canton,2017,Burglary,Number,10
Canton,2017,Burglary,"Rate (per 100,000)",107.5
Canton,2017,Larceny,Number,53
Canton,2017,Larceny,"Rate (per 100,000)",569.6
Canton,2017,Motor Vehicle Theft,Number,3
Canton,2017,Motor Vehicle Theft,"Rate (per 100,000)",32.2
Canton,2017,Arson,Number,0
Canton,2017,Arson,"Rate (per 100,000)",0
Chaplin,2010,Total Crime,Number,24
Chaplin,2010,Total Crime,"Rate (per 100,000)",1017.4
Chaplin,2010,Total Violent Crime,Number,1
Chaplin,2010,Total Violent Crime,"Rate (per 100,000)",42.4
Chaplin,2010,Total Property Crime,Number,23
Chaplin,2010,Total Property Crime,"Rate (per 100,000)",975
Chaplin,2010,Aggravated Assault,Number,0
Chaplin,2010,Aggravated Assault,"Rate (per 100,000)",0
Chaplin,2010,Murder,Number,0
Chaplin,2010,Murder,"Rate (per 100,000)",0
Chaplin,2010,Rape,Number,1
Chaplin,2010,Rape,"Rate (per 100,000)",42.4
Chaplin,2010,Robbery,Number,0
Chaplin,2010,Robbery,"Rate (per 100,000)",0
Chaplin,2010,Burglary,Number,11
Chaplin,2010,Burglary,"Rate (per 100,000)",466.3
Chaplin,2010,Larceny,Number,10
Chaplin,2010,Larceny,"Rate (per 100,000)",423.9
Chaplin,2010,Motor Vehicle Theft,Number,2
Chaplin,2010,Motor Vehicle Theft,"Rate (per 100,000)",84.8
Chaplin,2010,Arson,Number,0
Chaplin,2010,Arson,"Rate (per 100,000)",0
Chaplin,2011,Total Crime,Number,24
Chaplin,2011,Total Crime,"Rate (per 100,000)",1015.7
Chaplin,2011,Total Violent Crime,Number,1
Chaplin,2011,Total Violent Crime,"Rate (per 100,000)",42.3
Chaplin,2011,Total Property Crime,Number,23
Chaplin,2011,Total Property Crime,"Rate (per 100,000)",973.3
Chaplin,2011,Aggravated Assault,Number,1
Chaplin,2011,Aggravated Assault,"Rate (per 100,000)",42.3
Chaplin,2011,Murder,Number,0
Chaplin,2011,Murder,"Rate (per 100,000)",0
Chaplin,2011,Rape,Number,0
Chaplin,2011,Rape,"Rate (per 100,000)",0
Chaplin,2011,Robbery,Number,0
Chaplin,2011,Robbery,"Rate (per 100,000)",0
Chaplin,2011,Burglary,Number,6
Chaplin,2011,Burglary,"Rate (per 100,000)",253.9
Chaplin,2011,Larceny,Number,13
Chaplin,2011,Larceny,"Rate (per 100,000)",550.1
Chaplin,2011,Motor Vehicle Theft,Number,4
Chaplin,2011,Motor Vehicle Theft,"Rate (per 100,000)",169.3
Chaplin,2011,Arson,Number,0
Chaplin,2011,Arson,"Rate (per 100,000)",0
Chaplin,2012,Total Crime,Number,23
Chaplin,2012,Total Crime,"Rate (per 100,000)",970.9
Chaplin,2012,Total Violent Crime,Number,3
Chaplin,2012,Total Violent Crime,"Rate (per 100,000)",126.6
Chaplin,2012,Total Property Crime,Number,20
Chaplin,2012,Total Property Crime,"Rate (per 100,000)",844.2
Chaplin,2012,Aggravated Assault,Number,2
Chaplin,2012,Aggravated Assault,"Rate (per 100,000)",84.4
Chaplin,2012,Murder,Number,1
Chaplin,2012,Murder,"Rate (per 100,000)",42.2
Chaplin,2012,Rape,Number,0
Chaplin,2012,Rape,"Rate (per 100,000)",0
Chaplin,2012,Robbery,Number,0
Chaplin,2012,Robbery,"Rate (per 100,000)",0
Chaplin,2012,Burglary,Number,9
Chaplin,2012,Burglary,"Rate (per 100,000)",379.9
Chaplin,2012,Larceny,Number,11
Chaplin,2012,Larceny,"Rate (per 100,000)",464.3
Chaplin,2012,Motor Vehicle Theft,Number,0
Chaplin,2012,Motor Vehicle Theft,"Rate (per 100,000)",0
Chaplin,2012,Arson,Number,0
Chaplin,2012,Arson,"Rate (per 100,000)",0
Chaplin,2013,Total Crime,Number,14
Chaplin,2013,Total Crime,"Rate (per 100,000)",590.2
Chaplin,2013,Total Violent Crime,Number,2
Chaplin,2013,Total Violent Crime,"Rate (per 100,000)",84.3
Chaplin,2013,Total Property Crime,Number,12
Chaplin,2013,Total Property Crime,"Rate (per 100,000)",505.9
Chaplin,2013,Aggravated Assault,Number,2
Chaplin,2013,Aggravated Assault,"Rate (per 100,000)",84.3
Chaplin,2013,Murder,Number,0
Chaplin,2013,Murder,"Rate (per 100,000)",0
Chaplin,2013,Rape,Number,0
Chaplin,2013,Rape,"Rate (per 100,000)",0
Chaplin,2013,Robbery,Number,0
Chaplin,2013,Robbery,"Rate (per 100,000)",0
Chaplin,2013,Burglary,Number,5
Chaplin,2013,Burglary,"Rate (per 100,000)",210.8
Chaplin,2013,Larceny,Number,7
Chaplin,2013,Larceny,"Rate (per 100,000)",295.1
Chaplin,2013,Motor Vehicle Theft,Number,0
Chaplin,2013,Motor Vehicle Theft,"Rate (per 100,000)",0
Chaplin,2013,Arson,Number,0
Chaplin,2013,Arson,"Rate (per 100,000)",0
Chaplin,2014,Total Crime,Number,20
Chaplin,2014,Total Crime,"Rate (per 100,000)",843.9
Chaplin,2014,Total Violent Crime,Number,4
Chaplin,2014,Total Violent Crime,"Rate (per 100,000)",168.8
Chaplin,2014,Total Property Crime,Number,16
Chaplin,2014,Total Property Crime,"Rate (per 100,000)",675.1
Chaplin,2014,Aggravated Assault,Number,1
Chaplin,2014,Aggravated Assault,"Rate (per 100,000)",42.2
Chaplin,2014,Murder,Number,0
Chaplin,2014,Murder,"Rate (per 100,000)",0
Chaplin,2014,Rape,Number,3
Chaplin,2014,Rape,"Rate (per 100,000)",126.6
Chaplin,2014,Robbery,Number,0
Chaplin,2014,Robbery,"Rate (per 100,000)",0
Chaplin,2014,Burglary,Number,6
Chaplin,2014,Burglary,"Rate (per 100,000)",253.2
Chaplin,2014,Larceny,Number,9
Chaplin,2014,Larceny,"Rate (per 100,000)",379.7
Chaplin,2014,Motor Vehicle Theft,Number,1
Chaplin,2014,Motor Vehicle Theft,"Rate (per 100,000)",42.2
Chaplin,2014,Arson,Number,0
Chaplin,2014,Arson,"Rate (per 100,000)",0
Chaplin,2015,Total Crime,Number,15
Chaplin,2015,Total Crime,"Rate (per 100,000)",633.7
Chaplin,2015,Total Violent Crime,Number,1
Chaplin,2015,Total Violent Crime,"Rate (per 100,000)",42.2
Chaplin,2015,Total Property Crime,Number,14
Chaplin,2015,Total Property Crime,"Rate (per 100,000)",591.5
Chaplin,2015,Aggravated Assault,Number,0
Chaplin,2015,Aggravated Assault,"Rate (per 100,000)",0
Chaplin,2015,Murder,Number,0
Chaplin,2015,Murder,"Rate (per 100,000)",0
Chaplin,2015,Rape,Number,1
Chaplin,2015,Rape,"Rate (per 100,000)",42.2
Chaplin,2015,Robbery,Number,0
Chaplin,2015,Robbery,"Rate (per 100,000)",0
Chaplin,2015,Burglary,Number,5
Chaplin,2015,Burglary,"Rate (per 100,000)",211.2
Chaplin,2015,Larceny,Number,7
Chaplin,2015,Larceny,"Rate (per 100,000)",295.7
Chaplin,2015,Motor Vehicle Theft,Number,2
Chaplin,2015,Motor Vehicle Theft,"Rate (per 100,000)",84.5
Chaplin,2015,Arson,Number,0
Chaplin,2015,Arson,"Rate (per 100,000)",0
Chaplin,2016,Total Crime,Number,10
Chaplin,2016,Total Crime,"Rate (per 100,000)",423.4
Chaplin,2016,Total Violent Crime,Number,1
Chaplin,2016,Total Violent Crime,"Rate (per 100,000)",42.3
Chaplin,2016,Total Property Crime,Number,9
Chaplin,2016,Total Property Crime,"Rate (per 100,000)",381
Chaplin,2016,Aggravated Assault,Number,0
Chaplin,2016,Aggravated Assault,"Rate (per 100,000)",0
Chaplin,2016,Murder,Number,0
Chaplin,2016,Murder,"Rate (per 100,000)",0
Chaplin,2016,Rape,Number,1
Chaplin,2016,Rape,"Rate (per 100,000)",42.3
Chaplin,2016,Robbery,Number,0
Chaplin,2016,Robbery,"Rate (per 100,000)",0
Chaplin,2016,Burglary,Number,3
Chaplin,2016,Burglary,"Rate (per 100,000)",127
Chaplin,2016,Larceny,Number,3
Chaplin,2016,Larceny,"Rate (per 100,000)",127
Chaplin,2016,Motor Vehicle Theft,Number,3
Chaplin,2016,Motor Vehicle Theft,"Rate (per 100,000)",127
Chaplin,2016,Arson,Number,0
Chaplin,2016,Arson,"Rate (per 100,000)",0
Chaplin,2017,Total Crime,Number,11
Chaplin,2017,Total Crime,"Rate (per 100,000)",465.1
Chaplin,2017,Total Violent Crime,Number,2
Chaplin,2017,Total Violent Crime,"Rate (per 100,000)",84.6
Chaplin,2017,Total Property Crime,Number,9
Chaplin,2017,Total Property Crime,"Rate (per 100,000)",380.5
Chaplin,2017,Aggravated Assault,Number,2
Chaplin,2017,Aggravated Assault,"Rate (per 100,000)",84.6
Chaplin,2017,Murder,Number,0
Chaplin,2017,Murder,"Rate (per 100,000)",0
Chaplin,2017,Rape,Number,0
Chaplin,2017,Rape,"Rate (per 100,000)",0
Chaplin,2017,Robbery,Number,0
Chaplin,2017,Robbery,"Rate (per 100,000)",0
Chaplin,2017,Burglary,Number,6
Chaplin,2017,Burglary,"Rate (per 100,000)",253.7
Chaplin,2017,Larceny,Number,2
Chaplin,2017,Larceny,"Rate (per 100,000)",84.6
Chaplin,2017,Motor Vehicle Theft,Number,1
Chaplin,2017,Motor Vehicle Theft,"Rate (per 100,000)",42.3
Chaplin,2017,Arson,Number,0
Chaplin,2017,Arson,"Rate (per 100,000)",0
Cheshire,2010,Total Crime,Number,336
Cheshire,2010,Total Crime,"Rate (per 100,000)",1121.6
Cheshire,2010,Total Violent Crime,Number,12
Cheshire,2010,Total Violent Crime,"Rate (per 100,000)",40.1
Cheshire,2010,Total Property Crime,Number,324
Cheshire,2010,Total Property Crime,"Rate (per 100,000)",1081.6
Cheshire,2010,Aggravated Assault,Number,10
Cheshire,2010,Aggravated Assault,"Rate (per 100,000)",33.4
Cheshire,2010,Murder,Number,0
Cheshire,2010,Murder,"Rate (per 100,000)",0
Cheshire,2010,Rape,Number,0
Cheshire,2010,Rape,"Rate (per 100,000)",0
Cheshire,2010,Robbery,Number,2
Cheshire,2010,Robbery,"Rate (per 100,000)",6.7
Cheshire,2010,Burglary,Number,63
Cheshire,2010,Burglary,"Rate (per 100,000)",210.3
Cheshire,2010,Larceny,Number,250
Cheshire,2010,Larceny,"Rate (per 100,000)",834.6
Cheshire,2010,Motor Vehicle Theft,Number,11
Cheshire,2010,Motor Vehicle Theft,"Rate (per 100,000)",36.7
Cheshire,2010,Arson,Number,1
Cheshire,2010,Arson,"Rate (per 100,000)",3.3
Cheshire,2011,Total Crime,Number,304
Cheshire,2011,Total Crime,"Rate (per 100,000)",1013
Cheshire,2011,Total Violent Crime,Number,12
Cheshire,2011,Total Violent Crime,"Rate (per 100,000)",40
Cheshire,2011,Total Property Crime,Number,292
Cheshire,2011,Total Property Crime,"Rate (per 100,000)",973
Cheshire,2011,Aggravated Assault,Number,9
Cheshire,2011,Aggravated Assault,"Rate (per 100,000)",30
Cheshire,2011,Murder,Number,0
Cheshire,2011,Murder,"Rate (per 100,000)",0
Cheshire,2011,Rape,Number,0
Cheshire,2011,Rape,"Rate (per 100,000)",0
Cheshire,2011,Robbery,Number,3
Cheshire,2011,Robbery,"Rate (per 100,000)",10
Cheshire,2011,Burglary,Number,71
Cheshire,2011,Burglary,"Rate (per 100,000)",236.6
Cheshire,2011,Larceny,Number,211
Cheshire,2011,Larceny,"Rate (per 100,000)",703.1
Cheshire,2011,Motor Vehicle Theft,Number,10
Cheshire,2011,Motor Vehicle Theft,"Rate (per 100,000)",33.3
Cheshire,2011,Arson,Number,0
Cheshire,2011,Arson,"Rate (per 100,000)",0
Cheshire,2012,Total Crime,Number,276
Cheshire,2012,Total Crime,"Rate (per 100,000)",917.2
Cheshire,2012,Total Violent Crime,Number,4
Cheshire,2012,Total Violent Crime,"Rate (per 100,000)",13.3
Cheshire,2012,Total Property Crime,Number,272
Cheshire,2012,Total Property Crime,"Rate (per 100,000)",903.9
Cheshire,2012,Aggravated Assault,Number,0
Cheshire,2012,Aggravated Assault,"Rate (per 100,000)",0
Cheshire,2012,Murder,Number,0
Cheshire,2012,Murder,"Rate (per 100,000)",0
Cheshire,2012,Rape,Number,0
Cheshire,2012,Rape,"Rate (per 100,000)",0
Cheshire,2012,Robbery,Number,4
Cheshire,2012,Robbery,"Rate (per 100,000)",13.3
Cheshire,2012,Burglary,Number,48
Cheshire,2012,Burglary,"Rate (per 100,000)",159.5
Cheshire,2012,Larceny,Number,217
Cheshire,2012,Larceny,"Rate (per 100,000)",721.1
Cheshire,2012,Motor Vehicle Theft,Number,7
Cheshire,2012,Motor Vehicle Theft,"Rate (per 100,000)",23.3
Cheshire,2012,Arson,Number,0
Cheshire,2012,Arson,"Rate (per 100,000)",0
Cheshire,2013,Total Crime,Number,210
Cheshire,2013,Total Crime,"Rate (per 100,000)",697
Cheshire,2013,Total Violent Crime,Number,2
Cheshire,2013,Total Violent Crime,"Rate (per 100,000)",6.6
Cheshire,2013,Total Property Crime,Number,208
Cheshire,2013,Total Property Crime,"Rate (per 100,000)",690.4
Cheshire,2013,Aggravated Assault,Number,1
Cheshire,2013,Aggravated Assault,"Rate (per 100,000)",3.3
Cheshire,2013,Murder,Number,0
Cheshire,2013,Murder,"Rate (per 100,000)",0
Cheshire,2013,Rape,Number,0
Cheshire,2013,Rape,"Rate (per 100,000)",0
Cheshire,2013,Robbery,Number,1
Cheshire,2013,Robbery,"Rate (per 100,000)",3.3
Cheshire,2013,Burglary,Number,27
Cheshire,2013,Burglary,"Rate (per 100,000)",89.6
Cheshire,2013,Larceny,Number,172
Cheshire,2013,Larceny,"Rate (per 100,000)",570.9
Cheshire,2013,Motor Vehicle Theft,Number,9
Cheshire,2013,Motor Vehicle Theft,"Rate (per 100,000)",29.9
Cheshire,2013,Arson,Number,1
Cheshire,2013,Arson,"Rate (per 100,000)",3.3
Cheshire,2014,Total Crime,Number,251
Cheshire,2014,Total Crime,"Rate (per 100,000)",833.7
Cheshire,2014,Total Violent Crime,Number,8
Cheshire,2014,Total Violent Crime,"Rate (per 100,000)",26.6
Cheshire,2014,Total Property Crime,Number,243
Cheshire,2014,Total Property Crime,"Rate (per 100,000)",807.1
Cheshire,2014,Aggravated Assault,Number,3
Cheshire,2014,Aggravated Assault,"Rate (per 100,000)",10
Cheshire,2014,Murder,Number,1
Cheshire,2014,Murder,"Rate (per 100,000)",3.3
Cheshire,2014,Rape,Number,1
Cheshire,2014,Rape,"Rate (per 100,000)",3.3
Cheshire,2014,Robbery,Number,3
Cheshire,2014,Robbery,"Rate (per 100,000)",10
Cheshire,2014,Burglary,Number,41
Cheshire,2014,Burglary,"Rate (per 100,000)",136.2
Cheshire,2014,Larceny,Number,172
Cheshire,2014,Larceny,"Rate (per 100,000)",571.3
Cheshire,2014,Motor Vehicle Theft,Number,30
Cheshire,2014,Motor Vehicle Theft,"Rate (per 100,000)",99.6
Cheshire,2014,Arson,Number,0
Cheshire,2014,Arson,"Rate (per 100,000)",0
Cheshire,2015,Total Crime,Number,203
Cheshire,2015,Total Crime,"Rate (per 100,000)",675
Cheshire,2015,Total Violent Crime,Number,9
Cheshire,2015,Total Violent Crime,"Rate (per 100,000)",29.9
Cheshire,2015,Total Property Crime,Number,194
Cheshire,2015,Total Property Crime,"Rate (per 100,000)",645.1
Cheshire,2015,Aggravated Assault,Number,6
Cheshire,2015,Aggravated Assault,"Rate (per 100,000)",20
Cheshire,2015,Murder,Number,0
Cheshire,2015,Murder,"Rate (per 100,000)",0
Cheshire,2015,Rape,Number,1
Cheshire,2015,Rape,"Rate (per 100,000)",3.3
Cheshire,2015,Robbery,Number,2
Cheshire,2015,Robbery,"Rate (per 100,000)",6.7
Cheshire,2015,Burglary,Number,18
Cheshire,2015,Burglary,"Rate (per 100,000)",59.9
Cheshire,2015,Larceny,Number,166
Cheshire,2015,Larceny,"Rate (per 100,000)",552
Cheshire,2015,Motor Vehicle Theft,Number,10
Cheshire,2015,Motor Vehicle Theft,"Rate (per 100,000)",33.3
Cheshire,2015,Arson,Number,0
Cheshire,2015,Arson,"Rate (per 100,000)",0
Cheshire,2016,Total Crime,Number,250
Cheshire,2016,Total Crime,"Rate (per 100,000)",833.2
Cheshire,2016,Total Violent Crime,Number,4
Cheshire,2016,Total Violent Crime,"Rate (per 100,000)",13.3
Cheshire,2016,Total Property Crime,Number,246
Cheshire,2016,Total Property Crime,"Rate (per 100,000)",819.9
Cheshire,2016,Aggravated Assault,Number,2
Cheshire,2016,Aggravated Assault,"Rate (per 100,000)",6.7
Cheshire,2016,Murder,Number,0
Cheshire,2016,Murder,"Rate (per 100,000)",0
Cheshire,2016,Rape,Number,2
Cheshire,2016,Rape,"Rate (per 100,000)",6.7
Cheshire,2016,Robbery,Number,0
Cheshire,2016,Robbery,"Rate (per 100,000)",0
Cheshire,2016,Burglary,Number,29
Cheshire,2016,Burglary,"Rate (per 100,000)",96.7
Cheshire,2016,Larceny,Number,186
Cheshire,2016,Larceny,"Rate (per 100,000)",619.9
Cheshire,2016,Motor Vehicle Theft,Number,31
Cheshire,2016,Motor Vehicle Theft,"Rate (per 100,000)",103.3
Cheshire,2016,Arson,Number,0
Cheshire,2016,Arson,"Rate (per 100,000)",0
Cheshire,2017,Total Crime,Number,178
Cheshire,2017,Total Crime,"Rate (per 100,000)",592.4
Cheshire,2017,Total Violent Crime,Number,3
Cheshire,2017,Total Violent Crime,"Rate (per 100,000)",10
Cheshire,2017,Total Property Crime,Number,175
Cheshire,2017,Total Property Crime,"Rate (per 100,000)",582.4
Cheshire,2017,Aggravated Assault,Number,3
Cheshire,2017,Aggravated Assault,"Rate (per 100,000)",10
Cheshire,2017,Murder,Number,0
Cheshire,2017,Murder,"Rate (per 100,000)",0
Cheshire,2017,Rape,Number,0
Cheshire,2017,Rape,"Rate (per 100,000)",0
Cheshire,2017,Robbery,Number,0
Cheshire,2017,Robbery,"Rate (per 100,000)",0
Cheshire,2017,Burglary,Number,16
Cheshire,2017,Burglary,"Rate (per 100,000)",53.2
Cheshire,2017,Larceny,Number,145
Cheshire,2017,Larceny,"Rate (per 100,000)",482.6
Cheshire,2017,Motor Vehicle Theft,Number,14
Cheshire,2017,Motor Vehicle Theft,"Rate (per 100,000)",46.6
Cheshire,2017,Arson,Number,0
Cheshire,2017,Arson,"Rate (per 100,000)",0
Chester,2010,Total Crime,Number,45
Chester,2010,Total Crime,"Rate (per 100,000)",1145.9
Chester,2010,Total Violent Crime,Number,3
Chester,2010,Total Violent Crime,"Rate (per 100,000)",76.4
Chester,2010,Total Property Crime,Number,42
Chester,2010,Total Property Crime,"Rate (per 100,000)",1069.5
Chester,2010,Aggravated Assault,Number,1
Chester,2010,Aggravated Assault,"Rate (per 100,000)",25.5
Chester,2010,Murder,Number,1
Chester,2010,Murder,"Rate (per 100,000)",25.5
Chester,2010,Rape,Number,0
Chester,2010,Rape,"Rate (per 100,000)",0
Chester,2010,Robbery,Number,1
Chester,2010,Robbery,"Rate (per 100,000)",25.5
Chester,2010,Burglary,Number,9
Chester,2010,Burglary,"Rate (per 100,000)",229.2
Chester,2010,Larceny,Number,33
Chester,2010,Larceny,"Rate (per 100,000)",840.3
Chester,2010,Motor Vehicle Theft,Number,0
Chester,2010,Motor Vehicle Theft,"Rate (per 100,000)",0
Chester,2010,Arson,Number,1
Chester,2010,Arson,"Rate (per 100,000)",25.5
Chester,2011,Total Crime,Number,25
Chester,2011,Total Crime,"Rate (per 100,000)",635.5
Chester,2011,Total Violent Crime,Number,0
Chester,2011,Total Violent Crime,"Rate (per 100,000)",0
Chester,2011,Total Property Crime,Number,25
Chester,2011,Total Property Crime,"Rate (per 100,000)",635.5
Chester,2011,Aggravated Assault,Number,0
Chester,2011,Aggravated Assault,"Rate (per 100,000)",0
Chester,2011,Murder,Number,0
Chester,2011,Murder,"Rate (per 100,000)",0
Chester,2011,Rape,Number,0
Chester,2011,Rape,"Rate (per 100,000)",0
Chester,2011,Robbery,Number,0
Chester,2011,Robbery,"Rate (per 100,000)",0
Chester,2011,Burglary,Number,8
Chester,2011,Burglary,"Rate (per 100,000)",203.4
Chester,2011,Larceny,Number,15
Chester,2011,Larceny,"Rate (per 100,000)",381.3
Chester,2011,Motor Vehicle Theft,Number,2
Chester,2011,Motor Vehicle Theft,"Rate (per 100,000)",50.8
Chester,2011,Arson,Number,0
Chester,2011,Arson,"Rate (per 100,000)",0
Chester,2012,Total Crime,Number,18
Chester,2012,Total Crime,"Rate (per 100,000)",456.3
Chester,2012,Total Violent Crime,Number,0
Chester,2012,Total Violent Crime,"Rate (per 100,000)",0
Chester,2012,Total Property Crime,Number,18
Chester,2012,Total Property Crime,"Rate (per 100,000)",456.3
Chester,2012,Aggravated Assault,Number,0
Chester,2012,Aggravated Assault,"Rate (per 100,000)",0
Chester,2012,Murder,Number,0
Chester,2012,Murder,"Rate (per 100,000)",0
Chester,2012,Rape,Number,0
Chester,2012,Rape,"Rate (per 100,000)",0
Chester,2012,Robbery,Number,0
Chester,2012,Robbery,"Rate (per 100,000)",0
Chester,2012,Burglary,Number,2
Chester,2012,Burglary,"Rate (per 100,000)",50.7
Chester,2012,Larceny,Number,16
Chester,2012,Larceny,"Rate (per 100,000)",405.6
Chester,2012,Motor Vehicle Theft,Number,0
Chester,2012,Motor Vehicle Theft,"Rate (per 100,000)",0
Chester,2012,Arson,Number,0
Chester,2012,Arson,"Rate (per 100,000)",0
Chester,2013,Total Crime,Number,6
Chester,2013,Total Crime,"Rate (per 100,000)",151.9
Chester,2013,Total Violent Crime,Number,0
Chester,2013,Total Violent Crime,"Rate (per 100,000)",0
Chester,2013,Total Property Crime,Number,6
Chester,2013,Total Property Crime,"Rate (per 100,000)",151.9
Chester,2013,Aggravated Assault,Number,0
Chester,2013,Aggravated Assault,"Rate (per 100,000)",0
Chester,2013,Murder,Number,0
Chester,2013,Murder,"Rate (per 100,000)",0
Chester,2013,Rape,Number,0
Chester,2013,Rape,"Rate (per 100,000)",0
Chester,2013,Robbery,Number,0
Chester,2013,Robbery,"Rate (per 100,000)",0
Chester,2013,Burglary,Number,2
Chester,2013,Burglary,"Rate (per 100,000)",50.6
Chester,2013,Larceny,Number,4
Chester,2013,Larceny,"Rate (per 100,000)",101.3
Chester,2013,Motor Vehicle Theft,Number,0
Chester,2013,Motor Vehicle Theft,"Rate (per 100,000)",0
Chester,2013,Arson,Number,0
Chester,2013,Arson,"Rate (per 100,000)",0
Chester,2014,Total Crime,Number,16
Chester,2014,Total Crime,"Rate (per 100,000)",405.4
Chester,2014,Total Violent Crime,Number,0
Chester,2014,Total Violent Crime,"Rate (per 100,000)",0
Chester,2014,Total Property Crime,Number,16
Chester,2014,Total Property Crime,"Rate (per 100,000)",405.4
Chester,2014,Aggravated Assault,Number,0
Chester,2014,Aggravated Assault,"Rate (per 100,000)",0
Chester,2014,Murder,Number,0
Chester,2014,Murder,"Rate (per 100,000)",0
Chester,2014,Rape,Number,0
Chester,2014,Rape,"Rate (per 100,000)",0
Chester,2014,Robbery,Number,0
Chester,2014,Robbery,"Rate (per 100,000)",0
Chester,2014,Burglary,Number,5
Chester,2014,Burglary,"Rate (per 100,000)",126.7
Chester,2014,Larceny,Number,8
Chester,2014,Larceny,"Rate (per 100,000)",202.7
Chester,2014,Motor Vehicle Theft,Number,3
Chester,2014,Motor Vehicle Theft,"Rate (per 100,000)",76
Chester,2014,Arson,Number,0
Chester,2014,Arson,"Rate (per 100,000)",0
Chester,2015,Total Crime,Number,15
Chester,2015,Total Crime,"Rate (per 100,000)",380.4
Chester,2015,Total Violent Crime,Number,4
Chester,2015,Total Violent Crime,"Rate (per 100,000)",101.4
Chester,2015,Total Property Crime,Number,11
Chester,2015,Total Property Crime,"Rate (per 100,000)",279
Chester,2015,Aggravated Assault,Number,2
Chester,2015,Aggravated Assault,"Rate (per 100,000)",50.7
Chester,2015,Murder,Number,0
Chester,2015,Murder,"Rate (per 100,000)",0
Chester,2015,Rape,Number,2
Chester,2015,Rape,"Rate (per 100,000)",50.7
Chester,2015,Robbery,Number,0
Chester,2015,Robbery,"Rate (per 100,000)",0
Chester,2015,Burglary,Number,3
Chester,2015,Burglary,"Rate (per 100,000)",76.1
Chester,2015,Larceny,Number,7
Chester,2015,Larceny,"Rate (per 100,000)",177.5
Chester,2015,Motor Vehicle Theft,Number,1
Chester,2015,Motor Vehicle Theft,"Rate (per 100,000)",25.4
Chester,2015,Arson,Number,0
Chester,2015,Arson,"Rate (per 100,000)",0
Chester,2016,Total Crime,Number,13
Chester,2016,Total Crime,"Rate (per 100,000)",330.5
Chester,2016,Total Violent Crime,Number,2
Chester,2016,Total Violent Crime,"Rate (per 100,000)",50.8
Chester,2016,Total Property Crime,Number,11
Chester,2016,Total Property Crime,"Rate (per 100,000)",279.6
Chester,2016,Aggravated Assault,Number,0
Chester,2016,Aggravated Assault,"Rate (per 100,000)",0
Chester,2016,Murder,Number,0
